Gm#,Date,boxscore,Tm,Home/Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
86,Wednesday Jul 2 (1),boxscore,PHI,,SDP,L,4,6,,50-36,1,up 2.0,Pivetta,Abel,Suarez,2:52,D,40144,1.44,-,
87,Wednesday Jul 2 (2),boxscore,PHI,,SDP,W,5,1,,51-36,1,up 2.0,Sánchez,Cease,,2:34,N,40742,1.45,+,
88,Friday Jul 4,boxscore,PHI,,CIN,L,6,9,,51-37,1,up 0.5,Moll,Luzardo,Pagán,3:10,D,42166,1.47,-,
89,Saturday Jul 5,boxscore,PHI,,CIN,W,5,1,,52-37,1,up 0.5,Romano,Lodolo,,2:21,D,42045,1.47,+,
90,Sunday Jul 6,boxscore,PHI,,CIN,W,3,1,,53-37,1,up 1.5,Wheeler,Santillan,,2:27,D,42055,1.44,++,
91,Monday Jul 7,boxscore,PHI,@,SFG,L,1,3,,53-38,1,up 1.0,Rogers,Kerkering,Doval,2:31,N,40043,1.48,-,
92,Tuesday Jul 8,boxscore,PHI,@,SFG,L-wo,3,4,,53-39,1,Tied,Walker,Romano,,2:42,N,40212,1.50,--,
93,Wednesday Jul 9,boxscore,PHI,@,SFG,W,13,0,,54-39,1,up 0.5,Luzardo,Verlander,,2:49,D,37334,1.55,+,
94,Friday Jul 11,boxscore,PHI,@,SDP,L,2,4,,54-40,1,up 0.5,Estrada,Suarez,Suarez,2:27,N,43856,1.55,-,
95,Saturday Jul 12,boxscore,PHI,@,SDP,L,4,5,,54-41,2,0.5,Morgan,Banks,Estrada,2:47,D,43444,1.64,--,
96,Sunday Jul 13,boxscore,PHI,@,SDP,W,2,1,,55-41,1,up 0.5,Sánchez,Morejón,Strahm,2:39,D,43398,1.58,+,
97,Friday Jul 18,boxscore,PHI,,LAA,L,5,6,,55-42,1,up 0.5,Bachman,Banks,Jansen,2:42,N,44482,1.45,-,
98,Saturday Jul 19,boxscore,PHI,,LAA,W,9,5,,56-42,1,up 1.5,Johnson,Bachman,,2:48,N,43124,1.47,+,
99,Sunday Jul 20,boxscore,PHI,,LAA,L,2,8,,56-43,1,up 0.5,Soriano,Suarez,,2:45,D,40616,1.50,-,
100,Monday Jul 21,boxscore,PHI,,BOS,W-wo,3,2,10,57-43,1,up 0.5,Lazar,Hicks,,2:40,N,42843,1.48,+,
101,Tuesday Jul 22,boxscore,PHI,,BOS,W,4,1,,58-43,1,up 0.5,Sánchez,Fitts,,2:27,N,43409,1.46,++,
102,Wednesday Jul 23,boxscore,PHI,,BOS,L,8,9,11,58-44,2,0.5,Weissert,Johnson,Bernardino,3:29,N,42601,1.43,-,
103,Friday Jul 25,boxscore,PHI,@,NYY,W,12,5,,59-44,2,0.5,Banks,Hill,,2:55,N,47018,1.48,+,
104,Saturday Jul 26,boxscore,PHI,@,NYY,W,9,4,,60-44,2,0.5,Suarez,Stroman,,3:18,D,46621,1.42,++,
105,Sunday Jul 27,boxscore,PHI,@,NYY,L,3,4,,60-45,2,1.5,Rodón,Wheeler,Williams,2:35,D,45612,1.41,-,
106,Monday Jul 28,boxscore,PHI,@,CHW,L,2,6,,60-46,2,1.5,Martin,Sánchez,,2:24,N,15106,1.46,--,
107,Tuesday Jul 29,boxscore,PHI,@,CHW,W,6,3,,61-46,2,0.5,Luzardo,Cannon,,2:14,N,20730,1.48,+,
108,Wednesday Jul 30,boxscore,PHI,@,CHW,L,3,9,,61-47,2,0.5,Vasil,Lazar,,2:36,D,12718,1.45,-,
109,Friday Aug 1,boxscore,PHI,,DET,W,5,4,,62-47,1,up 0.5,Kerkering,Hanifee,Duran,2:19,N,43241,1.44,+,
110,Saturday Aug 2,boxscore,PHI,,DET,L,5,7,,62-48,2,0.5,Skubal,Wheeler,Finnegan,2:40,D,44669,1.48,-,
111,Sunday Aug 3,boxscore,PHI,,DET,W,2,0,,63-48,1,up 0.5,Sánchez,Morton,Duran,2:05,N,41569,1.47,+,
112,Monday Aug 4,boxscore,PHI,,BAL,W,13,3,,64-48,1,up 1.5,Luzardo,Povich,,2:33,N,41099,1.43,++,
113,Tuesday Aug 5,boxscore,PHI,,BAL,W,5,0,,65-48,1,up 2.5,Walker,Kremer,,2:20,N,43660,1.41,+++,
114,Wednesday Aug 6,boxscore,PHI,,BAL,L,1,5,,65-49,1,up 2.5,Rogers,Suarez,,2:25,D,42030,1.44,-,
115,Friday Aug 8,boxscore,PHI,@,TEX,W,9,1,,66-49,1,up 3.5,Sánchez,Kelly,,3:07,N,27575,1.45,+,
116,Saturday Aug 9,boxscore,PHI,@,TEX,W,3,2,,67-49,1,up 4.5,Luzardo,deGrom,Duran,2:39,N,38471,1.42,++,
117,Sunday Aug 10,boxscore,PHI,@,TEX,W,4,2,,68-49,1,up 5.5,Wheeler,Corbin,Duran,2:30,D,32444,1.32,+++,
118,Monday Aug 11,boxscore,PHI,@,CIN,W,4,1,,69-49,1,up 6.0,Romano,Abbott,Kerkering,2:20,N,43800,1.35,++++,
119,Tuesday Aug 12,boxscore,PHI,@,CIN,L,1,6,,69-50,1,up 5.0,Singer,Suarez,,2:08,N,29654,1.28,-,
120,Wednesday Aug 13,boxscore,PHI,@,CIN,L,0,8,,69-51,1,up 5.0,Greene,Sánchez,,2:26,N,25869,1.34,--,
121,Thursday Aug 14,boxscore,PHI,@,WSN,L,2,3,,69-52,1,up 5.0,Ogasawara,Luzardo,Henry,2:17,N,21609,1.32,---,
122,Friday Aug 15,boxscore,PHI,@,WSN,W,6,2,,70-52,1,up 6.0,Banks,Beeter,,2:47,N,35143,1.25,+,
